| Module | statements | missing | excluded | coverage |
| /opt/odoo/lib/addons/rental-vertical/rental_product_pack/models/stock.py | 4 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/rental_product_pack/tests/test_rental_product_pack.py | 45 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/rental_quality_control/models/inspection_line.py | 4 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/rental_quality_control/models/product.py | 8 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/rental_repair/models/purchase.py | 4 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/rental_timeline/models/product.py | 4 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/rental_transport_purchase_request/models/account_incoterms.py | 6 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/rental_transport_purchase_request/models/product.py | 13 | 0 | 0 | 100% |
| /opt/odoo/lib/addons/rental-vertical/sale_rental/wizard/create_rental_product.py | 31 | 0 | 0 | 100% |
| Total | 2624 | 637 | 0 | 76% |
